iterations;loss_weights;depth;width;activation;length;duration;N_x;N_t;gamma;epsilon;lr;IC;BC;batch_sizes(eq,ic,bc);avg_l2_error;avg_l2_error_phase;dx;dt;w/l;dt/dx
15000;(1,1,0);4;24;tanh;10;7;600;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0,126383;0,152129;0,033333333;0,028;6;0,84
15000;(1,1,0);4;36;tanh;10;7;600;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0,119581;0,15466;0,033333333;0,028;9;0,84
15000;(1,1,0);6;36;tanh;10;7;600;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0,050819;0,063152;0,033333333;0,028;6;0,84
15000;(1,1,0);8;24;tanh;10;7;600;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0,081407;0,070488;0,033333333;0,028;3;0,84
15000;(1,1,0);8;36;tanh;10;7;600;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0,04341;0,09698;0,033333333;0,028;4,5;0,84
15000;(1,1,0);10;24;tanh;10;7;600;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0,048441;0,061729;0,033333333;0,028;2,4;0,84
15000;(1,1,0);10;96;tanh;10;7;600;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0,151867;0,788759;0,033333333;0,028;9,6;0,84
15000;(1,1,0);12;24;tanh;10;7;600;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0,068844;0,043584;0,033333333;0,028;2;0,84
15000;(1,1,0);12;36;tanh;10;7;600;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0,046486;0,097292;0,033333333;0,028;3;0,84
15000;(1,1,0);12;96;tanh;10;7;600;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0,152545;1,320254;0,033333333;0,028;8;0,84
15000;(1,1,0);14;24;tanh;10;7;600;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0,090803;0,119322;0,033333333;0,028;1,714285714;0,84
15000;(1,1,0);14;36;tanh;10;7;600;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0,059299;0,08121;0,033333333;0,028;2,571428571;0,84
15000;(1,1,0);14;96;tanh;10;7;600;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);1,048525;0,218235;0,033333333;0,028;6,857142857;0,84
15000;(1,1,0);16;96;tanh;10;7;600;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0,225749;0,253952;0,033333333;0,028;6;0,84
15000;(1,1,0);6;48;tanh;10;7;600;500;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0;0,054477733;0,033333333;0,014;8;0,42
15000;(1,1,0);6;48;tanh;10;7;600;125;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0;0,10308917;0,033333333;0,056;8;1,68
15000;(1,1,0);6;48;tanh;10;7;600;1000;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0;0,03330014;0,033333333;0,007;8;0,21
15000;(1,1,0);6;48;tanh;10;7;300;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0;0,04054307;0,066666667;0,028;8;0,42
15000;(1,1,0);6;48;tanh;10;7;500;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0;0,042887665;0,04;0,028;8;0,7
15000;(1,1,0);6;48;tanh;10;7;1000;250;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0;0,049169667;0,02;0,028;8;1,4
15000;(1,1,0);6;48;tanh;10;7;1000;500;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0;0,050156154;0,02;0,014;8;0,7
15000;(1,1,0);6;48;tanh;10;7;1000;1000;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0;0,033981383;0,02;0,007;8;0,35
15000;(1,1,0);8;48;tanh;10;7;200;70;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0.036320;0;0,1;0,1;;1
15000;(1,1,0);8;48;tanh;10;7;2000;70;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0.119821;;0,01;0,1;;10
15000;(1,1,0);8;48;tanh;10;7;20000;70;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0.066466;;0,001;0,1;;100
15000;(1,1,0);8;48;tanh;10;7;200;700;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0.122848;;0,1;0,01;;0,1
15000;(1,1,0);8;48;tanh;10;7;2000;700;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0.065862;;0,01;0,01;;1
15000;(1,1,0);8;48;tanh;10;7;20000;700;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200); 0.052083;;0,001;0,01;;10
15000;(1,1,0);8;48;tanh;10;7;200;7000;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0.051964;;0,1;0,001;;0,01
15000;(1,1,0);8;48;tanh;10;7;2000;7000;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0.064607;;0,01;0,001;;0,1
15000;(1,1,0);8;48;tanh;10;7;20000;7000;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0.104025;;0,001;0,001;;1
15000;(1,1,0);8;48;tanh;10;7;200;70000;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0.051185;;0,1;0,0001;;
15000;(1,1,0);8;48;tanh;10;7;2000;70000;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0.065472;;0,01;0,0001;;
15000;(1,1,0);8;48;tanh;10;7;20000;70000;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);out of memory';;0,001;0,0001;;
15000;(1,1,0);8;48;tanh;10;7;200000;70000;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);out of memory';;0,0001;0,0001;;
15000;(1,1,0);8;48;tanh;10;7;200000;70;0.8;5;optax.exponential_decay(init_value=1e-3, transition_steps=5000, decay_rate=0.9);2ds;Dirichlet(FM);(1024,300,200);0.077735;;0,0001;0,1;;
